project_id,to_user_id,from_user_id,role,status,time_submitted,description,submitdate,rating,review_project_status,rating_details,review_context,currency,bid_amount,sealed,paid_amount,featured,id
17423577,30492358,15851995,freelancer,active,1532617225,"Excellent freelancer. Did what he committed.  He did a great job. Very patient with me and doing excellent work to date ! We are still working together. Recommend to all who want quality work. He is within my budget, very professional and will definitely hire again !",1532617225,5.0,complete,"{'category_ratings': {'expertise': 5.0, 'professionalism': 5.0, 'communication': 5.0, 'quality': 5.0, 'hire_again': 5.0}, 'on_time_display': 'YES', 'on_budget_display': 'YES'}","{'review_type': 'project', 'context_id': 17423577, 'context_name': 'SEO Off page / Link-building for 3 Projects', 'seo_url': 'projects/internet-marketing/SEO-Off-page-Link-building/'}","{'id': 11, 'code': 'INR', 'sign': '₹', 'name': 'Indian Rupee', 'exchange_rate': 0.013668, 'country': 'IN', 'is_external': False, 'is_escrowcom_supported': False}",6666.0,False,13332.0,False,11810167
17456603,30492358,14769104,freelancer,active,1533145194,"Jai did good work. I have given him to re-design my website and he did well. He did excellent work. I am really impressed with his work because of quality Work and affordable prices for every services like SEO, SMO, SEM Website design, Speed optimization. Now moving with him of my another project for SEO.",1533145194,5.0,complete,"{'category_ratings': {'expertise': 5.0, 'professionalism': 5.0, 'communication': 5.0, 'quality': 5.0, 'hire_again': 5.0}, 'on_time_display': 'YES', 'on_budget_display': 'YES'}","{'review_type': 'project', 'context_id': 17456603, 'context_name': 'Revamp Website SEO, SMO and Content', 'seo_url': 'projects/website-design/Revamp-Website-SEO-SMO-Content/'}","{'id': 11, 'code': 'INR', 'sign': '₹', 'name': 'Indian Rupee', 'exchange_rate': 0.013668, 'country': 'IN', 'is_external': False, 'is_escrowcom_supported': False}",6000.0,False,6000.0,False,11833084
17521937,30492358,30721387,freelancer,active,1533907755,"He did very good Job.I liked is work.Soon am going hire him for very big Project.I hope he  will give same Result like this One. Thanks,",1533907755,5.0,complete,"{'category_ratings': {'expertise': 5.0, 'professionalism': 5.0, 'communication': 5.0, 'quality': 5.0, 'hire_again': 5.0}, 'on_time_display': 'YES', 'on_budget_display': 'YES'}","{'review_type': 'project', 'context_id': 17521937, 'context_name': 'Google Top1 Page Ranking - Pay on Performance', 'seo_url': 'projects/internet-marketing/Google-Top-Page-Ranking-Pay/'}","{'id': 11, 'code': 'INR', 'sign': '₹', 'name': 'Indian Rupee', 'exchange_rate': 0.013668, 'country': 'IN', 'is_external': False, 'is_escrowcom_supported': False}",2000.0,False,2000.0,False,11866594
17547348,30492358,30773060,freelancer,active,1533997036,Very professional and accurate.  Job delivered on time. thanks a lot,1533997036,5.0,complete,"{'category_ratings': {'expertise': 5.0, 'professionalism': 5.0, 'communication': 5.0, 'quality': 5.0, 'hire_again': 5.0}, 'on_time_display': 'YES', 'on_budget_display': 'YES'}","{'review_type': 'project', 'context_id': 17547348, 'context_name': 'update meta title on my 5 page 1 hour work only', 'seo_url': 'projects/website-design/update-meta-title-page-hour/'}","{'id': 1, 'code': 'USD', 'sign': '$', 'name': 'US Dollar', 'exchange_rate': 1.0, 'country': 'US', 'is_external': False, 'is_escrowcom_supported': True}",55.0,False,105.0,False,11870087
17544432,30492358,30721387,freelancer,active,1534481425,Did good JOB .he have very good exp.Will Hire soon..,1534481425,5.0,complete,"{'category_ratings': {'expertise': 5.0, 'professionalism': 5.0, 'communication': 5.0, 'quality': 5.0, 'hire_again': 5.0}, 'on_time_display': 'YES', 'on_budget_display': 'YES'}","{'review_type': 'project', 'context_id': 17544432, 'context_name': 'We are looking for someone to help us rank well.', 'seo_url': 'projects/internet-marketing/are-looking-for-someone-help/'}","{'id': 11, 'code': 'INR', 'sign': '₹', 'name': 'Indian Rupee', 'exchange_rate': 0.013668, 'country': 'IN', 'is_external': False, 'is_escrowcom_supported': False}",2250.0,False,2250.0,False,11891116
17572284,30492358,23746769,freelancer,active,1534607193,A very trustworthy freelancer who delivers work fast and of high quality.,1534607193,5.0,complete,"{'category_ratings': {'expertise': 5.0, 'professionalism': 5.0, 'communication': 5.0, 'quality': 5.0, 'hire_again': 5.0}, 'on_time_display': 'YES', 'on_budget_display': 'NO'}","{'review_type': 'project', 'context_id': 17572284, 'context_name': 'Project for Jai Kumar S.', 'seo_url': 'projects/internet-marketing/Project-for-Jai-Kumar-17572284/'}","{'id': 1, 'code': 'USD', 'sign': '$', 'name': 'US Dollar', 'exchange_rate': 1.0, 'country': 'US', 'is_external': False, 'is_escrowcom_supported': True}",15.0,False,182.0,False,11896500
17590899,30492358,15419651,freelancer,active,1534746189,"“Amazing to work with Jai""",1534746189,5.0,complete,"{'category_ratings': {'expertise': 5.0, 'professionalism': 5.0, 'communication': 5.0, 'quality': 5.0, 'hire_again': 5.0}, 'on_time_display': 'YES', 'on_budget_display': 'YES'}","{'review_type': 'project', 'context_id': 17590899, 'context_name': 'Need a SEO Expert.', 'seo_url': 'projects/wordpress/Need-SEO-Expert-17590899/'}","{'id': 1, 'code': 'USD', 'sign': '$', 'name': 'US Dollar', 'exchange_rate': 1.0, 'country': 'US', 'is_external': False, 'is_escrowcom_supported': True}",50.0,False,300.0,False,11900885
17584800,30492358,1716292,freelancer,active,1534815588,"Yes, I ahppy with his work, and I'll use his service again",1534815588,5.0,complete,"{'category_ratings': {'expertise': 5.0, 'professionalism': 5.0, 'communication': 5.0, 'quality': 5.0, 'hire_again': 5.0}, 'on_time_display': 'YES', 'on_budget_display': 'YES'}","{'review_type': 'project', 'context_id': 17584800, 'context_name': 'Link Building for Website', 'seo_url': 'projects/internet-marketing/Link-Building-for-Website-17584800/'}","{'id': 3, 'code': 'AUD', 'sign': '$', 'name': 'Australian Dollar', 'exchange_rate': 0.7703, 'country': 'AU', 'is_external': False, 'is_escrowcom_supported': True}",45.0,False,46.0,False,11904387
17583073,30492358,30812552,freelancer,active,1534927388,"Great communication, Fast response, good quality",1534927388,5.0,complete,"{'category_ratings': {'expertise': 5.0, 'professionalism': 5.0, 'communication': 5.0, 'quality': 5.0, 'hire_again': 5.0}, 'on_time_display': 'YES', 'on_budget_display': 'YES'}","{'review_type': 'project', 'context_id': 17583073, 'context_name': 'i need SEO services for my website', 'seo_url': 'projects/seo/need-SEO-services-for-website-17583073/'}","{'id': 1, 'code': 'USD', 'sign': '$', 'name': 'US Dollar', 'exchange_rate': 1.0, 'country': 'US', 'is_external': False, 'is_escrowcom_supported': True}",50.0,False,50.0,False,11909396
17589569,30492358,30721387,freelancer,active,1535011328,Good Work..Cont. for Next few weeks,1535011328,5.0,complete,"{'category_ratings': {'expertise': 5.0, 'professionalism': 5.0, 'communication': 5.0, 'quality': 5.0, 'hire_again': 5.0}, 'on_time_display': 'YES', 'on_budget_display': 'YES'}","{'review_type': 'project', 'context_id': 17589569, 'context_name': 'Project for Jai Kumar S.', 'seo_url': 'projects/website-design/Project-for-Jai-Kumar/'}","{'id': 11, 'code': 'INR', 'sign': '₹', 'name': 'Indian Rupee', 'exchange_rate': 0.013668, 'country': 'IN', 'is_external': False, 'is_escrowcom_supported': False}",2250.0,False,6750.0,False,11912957
